i,            x,         x**2,       exp(x)
00,         0.00,        0.000,    1.000e+00
01,         0.20,        0.040,    1.221e+00
02,         0.40,        0.160,    1.492e+00
03,         0.60,        0.360,    1.822e+00
04,         0.80,        0.640,    2.226e+00
05,         1.00,        1.000,    2.718e+00
06,         1.20,        1.440,    3.320e+00
07,         1.40,        1.960,    4.055e+00
08,         1.60,        2.560,    4.953e+00
09,         1.80,        3.240,    6.050e+00
10,         2.00,        4.000,    7.389e+00
11,         2.20,        4.840,    9.025e+00
12,         2.40,        5.760,    1.102e+01
13,         2.60,        6.760,    1.346e+01
14,         2.80,        7.840,    1.644e+01
15,         3.00,        9.000,    2.009e+01
16,         3.20,       10.240,    2.453e+01
17,         3.40,       11.560,    2.996e+01
18,         3.60,       12.960,    3.660e+01
19,         3.80,       14.440,    4.470e+01
20,         4.00,       16.000,    5.460e+01
21,         4.20,       17.640,    6.669e+01
22,         4.40,       19.360,    8.145e+01
23,         4.60,       21.160,    9.948e+01
24,         4.80,       23.040,    1.215e+02
25,         5.00,       25.000,    1.484e+02
26,         5.20,       27.040,    1.813e+02
27,         5.40,       29.160,    2.214e+02
28,         5.60,       31.360,    2.704e+02
29,         5.80,       33.640,    3.303e+02
30,         6.00,       36.000,    4.034e+02
31,         6.20,       38.440,    4.927e+02
32,         6.40,       40.960,    6.018e+02
33,         6.60,       43.560,    7.351e+02
34,         6.80,       46.240,    8.978e+02
35,         7.00,       49.000,    1.097e+03
36,         7.20,       51.840,    1.339e+03
37,         7.40,       54.760,    1.636e+03
38,         7.60,       57.760,    1.998e+03
39,         7.80,       60.840,    2.441e+03
40,         8.00,       64.000,    2.981e+03
41,         8.20,       67.240,    3.641e+03
42,         8.40,       70.560,    4.447e+03
43,         8.60,       73.960,    5.432e+03
44,         8.80,       77.440,    6.634e+03
45,         9.00,       81.000,    8.103e+03
46,         9.20,       84.640,    9.897e+03
47,         9.40,       88.360,    1.209e+04
48,         9.60,       92.160,    1.476e+04
49,         9.80,       96.040,    1.803e+04
50,        10.00,      100.000,    2.203e+04
